@relation 'horsedata1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,18-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.NumericToNominal-R18-23'

@attribute surgery {no,yes}
@attribute age {adult,young}
@attribute rectal_temp numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_of_extremities {cool,cold,normal,warm}
@attribute peripheral_pulse {reduced,normal,absent,increased}
@attribute mucous_membrane {normal_pink,dark_cyanotic,bright_pink,pale_cyanotic,pale_pink,bright_red}
@attribute capillary_refill_time {more_3_sec,less_3_sec,3}
@attribute pain {extreme_pain,depressed,alert,severe_pain,mild_pain}
@attribute peristalsis {absent,normal,hypomotile,hypermotile}
@attribute abdominal_distention {severe,none,slight,moderate}
@attribute rectal_exam_feces {decreased,absent,normal,increased}
@attribute abdomen {distend_large,normal,distend_small,other,firm}
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute surgical_lesion {no,yes}
@attribute lesion {0,1}
@attribute lesion_site {0,1,2,3,4,5,6,7,8,9,11}
@attribute lesion_type {0,1,2,3,4}
@attribute lesion_subtype {0,1,2,3}
@attribute lesion_code {0,1,2,3,4,5,6,7,8,9,10}
@attribute outcome_binary {0,1}

@data
no,adult,38.5,66,28,cool,reduced,normal_pink,more_3_sec,extreme_pain,absent,severe,decreased,distend_large,45,8.4,no,1,11,3,0,0,0
yes,young,39.1,164,84,cold,normal,dark_cyanotic,more_3_sec,depressed,absent,severe,decreased,normal,48,7.2,yes,1,2,2,0,8,0
no,adult,37.3,104,35,normal,normal,dark_cyanotic,more_3_sec,alert,normal,none,absent,normal,74,7.4,no,1,4,3,0,0,0
yes,adult,38.2,60,30,cool,normal,normal_pink,less_3_sec,alert,absent,slight,decreased,distend_small,44,8.3,yes,1,2,2,0,8,0
no,young,38,92,28,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,normal,normal,37,6.1,no,0,0,0,0,0,0
yes,adult,37.6,96,48,cool,normal,pale_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,absent,normal,45,6.8,yes,1,3,2,0,7,0
yes,young,38.2,128,36,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,absent,distend_large,53,7.8,no,1,1,4,0,0,0
yes,adult,38.2,72,30,normal,normal,normal_pink,3,alert,normal,none,absent,normal,46,7.2,no,1,4,3,0,0,0
no,adult,37.7,96,30,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,absent,distend_large,66,7.5,yes,1,4,2,0,5,0
yes,young,39.2,146,96,normal,normal,normal_pink,3,alert,normal,none,absent,normal,46,7.2,yes,1,2,1,1,3,0
yes,adult,38.2,88,30,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,absent,distend_large,63,6.5,yes,1,4,2,0,5,0
no,adult,38.2,120,30,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,absent,distend_large,60,6.5,yes,1,3,2,0,5,0
yes,adult,38.9,80,44,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,decreased,normal,54,6.5,yes,1,7,1,1,1,0
no,adult,37.2,84,48,cool,reduced,bright_red,more_3_sec,severe_pain,hypermotile,slight,increased,normal,73,5.5,no,1,4,3,0,0,0
yes,adult,37.4,84,36,normal,normal,pale_pink,more_3_sec,mild_pain,hypomotile,slight,absent,distend_large,46,7.2,yes,1,7,2,0,9,0
yes,young,38.6,160,20,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,severe,absent,normal,38,7.2,yes,1,7,1,1,1,0
yes,adult,38.2,64,36,warm,normal,bright_pink,less_3_sec,extreme_pain,hypomotile,moderate,absent,normal,42,7.7,yes,1,3,2,0,9,0
yes,adult,38.2,72,20,cold,reduced,pale_pink,3,extreme_pain,absent,moderate,absent,distend_small,53,5.9,yes,1,3,2,0,5,0
no,adult,38.2,96,30,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,absent,distend_large,60,7.2,yes,1,4,2,0,5,0
yes,adult,37.8,88,22,warm,normal,bright_pink,less_3_sec,mild_pain,normal,none,absent,normal,64,8,yes,1,3,2,0,5,0
yes,adult,37.7,56,30,normal,normal,normal_pink,3,alert,normal,none,absent,normal,46,7.2,yes,1,2,1,1,3,0
yes,adult,38.1,52,24,normal,normal,bright_red,less_3_sec,severe_pain,hypomotile,none,normal,normal,54,7.5,yes,1,2,1,1,2,0
yes,young,38.2,72,30,normal,normal,normal_pink,3,alert,normal,none,absent,normal,37,4.9,yes,1,11,1,2,4,0
